ID_of_Image,ID,Label
7063077,504661,2
7065457,504689,4
7053127,504519,1
7071032,504818,3
7073856,504871,1
7054092,504531,2
7069599,504741,2
7030892,504203,1
7058090,504553,2
7031786,504226,2
7034932,504255,4
7066288,504697,4
7071522,504831,4
7062624,504656,3
7031100,504210,1
7025650,504117,2
7048595,504461,1
7031626,504222,1
7035692,504277,2
7026637,504158,3
7038425,504362,1
7029225,504193,2
7058441,504045,2
7031346,504213,3
7070487,504780,4
7036543,504300,1
7070191,504768,3
7068864,504732,3
7056347,504541,1
7059497,504602,1
7055743,504538,3
7029100,504192,1
7059494,504601,1
7070386,504777,2
7038348,504354,3
7070717,504784,1
7046478,504446,3
7052811,504517,2
7038482,504374,3
7038471,504371,1
7038295,504337,3
7064710,504055,2
7055080,504026,2
7049135,504485,4
7051713,504510,1
7058729,504579,1
7050517,504015,4
7030703,504199,1
7058622,504049,1
7059430,504600,1
7070814,504794,2
7068654,504722,1
7070917,504799,1
7038226,504326,1
7025633,504114,2
7048905,504010,2
7051720,504511,2
7069793,504743,2
7048321,504009,2
7044707,504425,1
7035097,504270,1
7048637,504467,4
7025392,504096,4
7058676,504575,1
7053338,504524,1
7071010,504807,1
7049780,504493,4
7059539,504604,1
7035064,504269,1
7044212,504417,1
7071864,504842,2
7040017,504385,2
7044612,504421,4
7026519,504150,2
7071952,504845,2
7041084,504402,4
7073831,504870,2
7025381,504093,2
7041047,504400,2
7061068,504638,3
7063346,504664,2
7065085,504683,1
7034714,504246,1
7071297,504829,2
7070539,504063,1
7055042,504024,1
7072750,504072,1
7049171,504486,2
7066398,504700,2
7035686,504276,4
7067467,504710,1
7027239,504175,2
7071174,504823,1
7071587,504832,1
7027288,504177,1
7068764,504727,2
7072200,504850,1
7074812,504877,2
7062011,504647,3
7067045,504706,1
7059807,504609,4
7044360,504420,1
7073124,504862,1
7070810,504790,2
7045015,504437,1
7034376,504237,1
7036455,504295,3
7072279,504851,4
7035006,504260,1
7030659,504198,4
7050001,504495,1
7044891,504435,2
7038293,504335,3
7070122,504766,1
7061617,504642,2
7059334,504598,1
7062192,504652,2
7067162,504057,1
7035128,504271,2
7027155,504172,1
7046268,504008,1
7045760,504441,3
7038479,504372,3
7031796,504227,1
7073168,504076,2
7059508,504603,4
7067644,504712,1
7074046,504084,1
7031547,504217,1
7048938,504477,1
7039985,504381,2
7052102,504512,1
7034878,504252,1
7060790,504630,3
7071020,504811,1
7056390,504543,1
7038349,504355,1
7075060,504884,2
7058685,504576,2
7059041,504587,1
7051510,504506,1
7065194,504686,3
7038055,504319,2
7069916,504752,2
7070891,504796,2
7058203,504556,1
7061806,504644,3
7039896,504377,1
7028955,504186,1
7031782,504225,1
7059918,504610,3
7071738,504068,1
7073374,504077,4
7037331,504311,3
7058575,504569,3
7076289,504090,2
7063146,504662,2
7070672,504782,1
7071028,504813,2
7038327,504345,3
7061006,504637,3
7051672,504509,1
7026754,504160,3
7036406,504293,3
7027784,504183,1
7049108,504483,1
7072086,504848,2
7035253,504274,2
7026904,504166,3
7034995,504259,3
7064609,504673,3
7047830,504457,2
7038269,504333,1
7050345,504012,3
7058895,504585,3
7034560,504241,2
7026431,504139,3
7053282,504520,3
7060636,504626,3
7059956,504611,3
7054038,504529,3
7058727,504578,3
7048634,504466,2
7064234,504669,2
7058518,504568,1
7029322,504195,1
7035007,504263,2
7040995,504000,1
7075501,504885,3
7059042,504589,2
7037530,504315,3
7072928,504859,1
7040910,504397,2
7039941,504379,2
7072424,504853,1
7051295,504502,1
7038335,504347,2
7037206,504304,3
7044664,504422,3
7026542,504153,2
7068852,504729,1
7049043,504011,2
7064789,504678,2
7044819,504433,1
7072891,504857,4
7036229,504287,3
7070007,504755,2
7071665,504836,2
7031589,504219,1
7031097,504209,3
7068411,504717,2
7071047,504819,3
7026458,504144,2
7057702,504039,2
7026498,504146,2
7044848,504434,2
7038267,504331,3
7071007,504803,1
7060088,504615,1
7058414,504563,1
7068311,504716,1
7044101,504415,2
7075333,504088,1
7061414,504641,3
7031905,504233,2
7058613,504573,2
7074781,504875,2
7054167,504019,3
7046329,504443,3
7061194,504640,2
7038432,504364,1
7034548,504239,1
7031863,504229,1
7050520,504498,3
7026835,504163,3
7025566,504109,1
7043413,504003,2
7067258,504708,1
7046040,504442,3
7072506,504855,1
7036350,504292,1
7064776,504676,1
7060813,504631,3
7070036,504756,3
7038263,504330,3
7048970,504479,1
7074070,504086,1
7069246,504061,2
7058149,504044,2
7026761,504161,3
7041112,504406,2
7038407,504358,1
7025746,504124,1
7068641,504720,1
7059398,504599,1
7051464,504504,1
7040031,504386,2
7036007,504283,2
7030921,504207,1
7031897,504232,1
7061151,504639,3
7054203,504020,3
7067598,504711,1
7058182,504555,3
7066493,504703,2
7026385,504135,2
7035822,504278,3
7064992,504681,2
7057523,504036,2
7042036,504412,2
7058274,504561,2
7073094,504861,3
7048995,504480,3
7059119,504593,2
7027172,504174,1
7048684,504472,3
7025451,504100,2
7028270,503993,2
7025499,504104,4
7041337,504001,1
7046567,504450,3
7040139,504388,2
7026840,504164,3
7025689,504120,3
7037278,504307,3
7073164,504863,3
7030896,504205,3
7067447,504709,3
7071361,504065,1
7071715,504837,3
7025641,504115,4
7031579,504218,2
7071925,504844,1
7073948,504080,1
7027390,504179,2
7068270,504715,3
7060061,504613,3
7056196,504035,1
7071136,504821,3
7065040,504682,2
7038246,504327,4
7064603,504672,2
7059143,504595,3
7035302,504275,2
7026503,504147,4
7040150,504389,4
7072082,504846,4
7051339,504503,4
7026877,504165,3
7039990,504382,2
7071798,504840,4
7037288,504308,3
7058914,504586,2
7050361,504014,3
7066827,504704,2
7045110,504439,3
7055217,504029,1
7044988,504436,2
7034622,504245,2
7060898,504635,3
7060866,504632,3
7036587,504303,4
7041133,504411,2
7062009,504646,3
7049130,504484,3
7027038,504168,3
7047008,504455,2
7038340,504351,4
7026447,504143,1
7073285,504866,2
7059280,504052,2
7048912,504476,1
7057514,504547,2
7034303,504236,2
7054613,504022,1
7043747,504413,4
7025588,504113,4
7025512,504106,4
7071064,504820,3
7056624,504545,2
7034734,504248,2
7069828,504748,2
7059279,504597,3
7034794,504250,2
7058499,504565,1
7064748,504674,3
7058102,504043,4
7055911,504030,4
7073337,504867,4
7062166,504650,3
7070801,504789,3
7050936,504499,4
7057530,504038,4
7046482,504447,3
7036241,504288,2
7027125,504170,1
7057694,504549,3
7064164,504668,4
7038383,504357,2
7060325,504620,3
7070121,504764,3
7058807,504582,2
7031845,504228,4
7055962,504031,3
7048683,504470,3
7068630,504718,3
7038251,504328,3
7037370,504313,3
7074270,504873,3
7036076,504284,3
7030895,503994,1
7036125,504286,2
7034840,504251,3
7048678,504468,4
7026798,504162,3
7066379,504699,2
7059959,504612,3
7058583,504571,1
7065662,504691,2
7027363,504178,1
7038134,504322,1
7062158,504649,3
7037352,504312,3
7039690,504376,2
7034568,504243,1
7031757,504223,1
7051056,504018,3
7025740,504123,3
7059090,504591,3
7067181,504707,3
7031332,504212,1
7025458,504101,4
7071295,504825,1
7038437,504366,1
7070055,504762,1
7059063,504590,3
7059586,504605,1
7038310,504341,2
7029096,504190,1
7025805,504127,4
7034960,504257,3
7029547,504196,2
7070370,504062,1
7058088,504042,2
7035880,504282,1
7038436,504365,1
7076154,504089,2
7048961,504478,2
7072887,504075,1
7038438,504368,1
7025683,504119,3
7070774,504788,2
7035038,504264,1
7058207,504558,1
7057746,504550,1
7027556,504182,2
7036300,504290,3
7056098,504032,1
7063020,504659,3
7038124,504320,1
7046459,504445,3
7026619,504157,3
7049703,504491,1
7056192,504033,1
7066180,504694,1
7074818,504881,2
7059278,504051,3
7070287,504774,3
7027406,504180,1
7037498,504314,1
7035050,504267,1
7070316,504776,1
7068817,504060,2
7073191,504864,2
7070208,504770,1
7054578,504533,1
7031471,504215,2
7044748,504428,1
7037701,504316,3
7058243,504559,3
7025556,504108,4
7034973,504258,3
7041088,504404,3
7046737,504454,3
7052166,504513,2
7034925,504254,1
7029264,504194,1
7038325,504343,1
7051081,504501,1
7072300,504852,4
7054388,504532,3
7068144,504714,1
7073466,504868,3
7037300,504310,3
7060596,504623,3
7031758,504224,1
7068042,504713,1
7038160,504323,3
7073816,504079,1
7060269,504617,2
7032537,504235,2
7058890,504583,3
7025467,504102,3
7040001,504383,2
7070745,504787,2
7027042,504169,3
7053779,504528,1
7025576,504111,4
7038278,504334,3
7071261,504824,4
7040217,504390,2
7039937,504378,2
7025799,504126,4
7025581,504112,3
7031219,503999,1
7038309,504340,3
7046701,504453,1
7035233,504273,2
7057786,504041,2
7060887,504634,3
7059708,504608,1
7034958,504256,2
7036477,504296,3
7068667,504724,1
7060644,504627,3
7060597,504624,3
7058286,504562,3
7027149,504171,1
7054043,504530,2
7070565,504781,1
7062235,504653,4
7069567,504739,1
7031597,504221,2
7057752,504040,1
7062634,504657,1
7034904,504253,1
7056316,504540,3
7057517,504548,2
7044693,504423,2
7055044,504025,1
7064844,504679,3
7048620,504465,3
7051520,504507,1
7025488,504103,3
7059136,504594,2
7057989,504551,1
7026612,504156,3
7062415,504655,1
7059116,504592,1
7055702,504537,1
7036496,504298,3
7037733,504317,3
7035040,504266,3
7063285,504663,2
7071722,504838,4
7025913,504130,1
7060100,504616,3
7066460,504702,1
7030656,504197,4
7027794,504184,1
7041117,504407,1
7045046,504438,1
7071604,504833,1
7071162,504822,3
7064983,504680,1
7031131,503998,1
7060512,504622,3
7066367,504698,1
7069811,504744,2
7025386,504095,1
7037262,504306,3
7048713,504473,1
7025883,504129,1
7053309,504522,1
7060727,504628,3
7031402,504214,3
7048885,504475,2
7036260,504289,1
7058507,504567,3
7053296,504521,1
7074815,504880,4
7047532,504456,2
7073495,504078,3
7040274,504392,1
7060493,504621,3
7040267,504391,4
7026390,504137,3
7035843,504281,2
7064908,504056,1
7038316,504342,2
7026715,504159,2
7041023,504398,2
7044294,504419,1
7065430,504687,2
7071444,504066,1
7025954,504132,1
7058003,504552,1
7072476,504070,1
7064242,504671,1
7035159,504272,3
7035057,504268,1
7025407,504098,3
7052464,504515,1
7062405,504054,2
7046521,504449,2
7044755,504429,2
7046516,504448,3
7063546,504665,3
7058796,504581,3
7031114,503997,1
7064241,504670,4
7069858,504751,4
7052805,504516,1
7055118,504028,2
7043848,504005,2
7038297,504339,1
7075548,504886,1
7034754,504249,1
7072447,504854,1
7026440,504140,2
7059704,504607,2
7051469,504505,2
7075623,504887,2
7041118,504409,3
7040112,504387,2
7042025,504002,2
7044137,504416,3
7048999,504482,3
7058716,504050,2
7074826,504882,3
7058455,504564,3
7055452,504534,3
7061783,504643,2
7067002,504705,2
7073964,504083,1
7075891,504889,2
7060935,504636,3
7040344,504395,2
7030876,504202,3
7040796,504396,2
7031591,504220,1
7071907,504069,1
7032143,504234,2
7060786,504629,2
7029035,504187,2
7055558,504536,3
7053567,504526,3
7025372,504092,4
7070924,504802,3
7059672,504606,3
7056001,504539,1
7040299,504393,2
7074389,504874,2
7046372,504444,3
7073868,504872,1
7041045,504399,2
7076484,504091,4
7065560,504690,2
7068348,504058,2
7053366,504525,1
7027165,504173,1
7048410,504459,3
7066410,504701,3
7037292,504309,3
7058500,504566,2
7053664,504527,1
7045676,504006,2
7051604,504508,2
7038296,504338,2
7025447,504099,4
7052881,504518,2
7073954,504081,1
7069609,504742,2
7075794,504888,1
7044739,504427,3
7027276,504176,2
7050884,504017,3
7058616,504048,1
7044791,504432,3
7041122,504410,2
7073477,504869,3
7040011,504384,2
7031498,504216,3
7059390,504053,2
7031873,504230,2
7065435,504688,2
7065904,504693,3
7043481,504004,2
7063841,504667,2
7025656,504118,4
7048603,504464,3
7026428,504138,3
7075255,504087,2
7039945,504380,2
7025546,504107,2
7027450,504181,1
7028923,504185,1
7036318,504291,1
7027002,504167,3
7036544,504302,3
7070705,504783,4
7030874,504201,4
7052318,504514,2
7053324,504523,3
7025737,504122,3
7058527,504047,2
7058444,504046,4
7058255,504560,2
7051024,504500,2
7057148,504546,1
7040312,504394,2
7025503,504105,3
7070911,504798,2
7060289,504619,3
7046596,504451,3
7030898,504206,2
7075038,504883,2
7035840,504280,3
7071610,504067,2
7025923,504131,2
7049751,504492,1
7058205,504557,2
7069534,504738,1
7058629,504574,2
7071017,504810,3
7026511,504149,2
7048486,504460,2
7056445,504544,3
7031093,504208,2
7046184,504007,3
7066266,504696,3
7045165,504440,3
7031876,504231,4
7064752,504675,3
7046679,504452,1
7038423,504361,2
7044701,504424,1
7069918,504754,2
7044758,504431,3
7070056,504763,2
7055548,504535,1
